priority,job_sheet_section,part_name,symptom_comment,repair_comment,action
1,1,,(?s).*,(?i).*(EXS|EXT|CAIRAN|CLEANING|semut).*,EXTERNAL
2,1,TAPE,(?s).*,(?i).*EXT.*,EXTERNAL
3,1,,(?s).*,(?i).*BATAL.*,CANCEL
4,1,,(?s).*,(?i).*CEK\ NORMAL.*,USER
5,1,POWER_UNIT,(?s).*,(?s).*,REPLACE_POWER_UNIT
6,1,PANEL,(?s).*,(?s).*,REPLACE_PANEL
7,1,MAIN_UNIT,(?s).*,(?s).*,REPLACE_MAIN_UNIT
8,1,REMOTE_CONTROL,(?s).*,(?s).*,REPLACE_REMOTE
9,1,PART_KIT,(?s).*,(?s).*,REPAIR_POWER_UNIT
10,1,LED_BAR,(?s).*,(?s).*,REPLACE_LED_BAR
11,1,IC,(?s).*,(?s).*,REPAIR_MAIN_UNIT
12,1,LVDS_WIRE,(?s).*,(?s).*,REPLACE_LVDS_WIRE
13,1,AC_CORD,(?s).*,(?s).*,REPLACE_AC_CORD
14,1,FFC_WIRE,(?s).*,(?s).*,REPLACE_FFC_WIRE
15,1,IR_UNIT,(?s).*,(?s).*,REPLACE_IR_UNIT
16,1,SPEAKER,(?s).*,(?s).*,REPLACE_SPEAKER
17,1,TCON_UNIT,(?s).*,(?s).*,REPLACE_TCON_UNIT
18,1,SWITCH,,(?i).*GANTI.*,REPLACE SWITCH
19,1,LED_IR_UNIT,,(?i).*GANTI.*,REPLACE_IR_UNIT
20,1,,(?s).*,(?i).*(BAWA|ZY|Z1|DITARIK|KIRIM|WS|bawa|CARRY|TO\ WS.|DIANTAR).*,ZY
21,1,,(?s).*,(?i).*UPGRADE.*,UPGRADE
22,1,,(?s).*,(?i).*FACTOR.*,FACTORY_RESET
23,1,,(?s).*,(?i).*JELAS.*,EXPLANATION
24,1,,(?s).*,(?i).*RESET\ PROGRAM.*,SETTING
25,1,,(?s).*,(?i).*KARDUS\ RUSAK.*,EXTERNAL
26,1,,MATI,SERVICE POWER,REPAIR_POWER_UNIT
27,1,,MATI|TIDAK BISA HIDUP,REPAIR PWB,REPAIR_POWER_UNIT
28,1,,,servis main,REPAIR_MAIN_UNIT
29,1,,BLANK,ganti dioda,REPAIR_MAIN_UNIT
30,1,,,PERBAIIKI MAIN,REPAIR_MAIN_UNIT
31,1,,(?s).*,(?i).*PERBAIKI\ MAIN.*,REPAIR_MAIN_UNIT
32,1,,(?s).*,(?i).*PERBAIKI\ MAIN\ UNIT.*,REPAIR_MAIN_UNIT
33,1,,(?s).*,(?i).*REPAIR\ MAIN.*,REPAIR_MAIN_UNIT
34,1,,(?s).*,(?i).*RESOLDERING\ MAIN.*,REPAIR_MAIN_UNIT
35,1,,(?s).*,(?i).*RESOLDERING\ MB.*,REPAIR_MAIN_UNIT
36,1,,(?s).*,(?i).*(RESOLDER IC7801|RESOLDER IC MEMORY).*,REPAIR_MAIN_UNIT
37,1,,(?s).*,(?i).*(RESOLDER D7801).*,REPAIR_MAIN_UNIT
38,1,,(?s).*,(?i).*(RESOLDER BLOK MAIN|RESOLDER PWB|RESOLDER MAIN).*,REPAIR_MAIN_UNIT
39,1,,(?s).*,(?i).*PERBAIKAN\ MAIN.*,REPAIR_MAIN_UNIT
40,1,,(?s).*,(?i).*SOLDER\ MAIN.*,REPAIR_MAIN_UNIT
41,1,,(?s).*,(?i).*REPAIR\ PWB\ MAIN.*|FLASH EPROM,REPAIR_MAIN_UNIT
