symptom_alias,symptom_canonical,repair_alias,repair_canonical
STANDY BY|STANBY|STAND BY|stanbay|STBY,STANDBY,RESOLDERING|RESOLDRING|RESOLDER|SOLDER|SOLDERING,RESOLDER
X ADA GAMBAR|TIDAK ADA GAMBAR|TDK ADA GAMBAR|TIDAK AD AGAMBAR|TIDAK AD GAMBAR|TDK ADA GMBR,TIDAK ADA GAMBAR,GT|GNT|GNTI,GANTI
MT|ATI TOTAL|MATOL(A)|MATOL,MATI TOTAL,X ADA GAMBAR|TIDAK ADA GAMBAR|TDK ADA GAMBAR|TIDAK AD AGAMBAR|TIDAK AD GAMBAR|TDK ADA GMBR,TIDAK ADA GAMBAR
TDK ADA SIARAN,TIDAK ADA SIARAN,EXS|EXTRNAL|EXTERNAL,EXT
REMOT,REMOTE,UNIL|UNTIT,UNIT
TDK,TIDAK,EPAIR|REPAIRE,REPAIR
0AMBAR,GAMBAR,RLAMPU,LAMPU
]IDAK,TIDAK,MB,MAIN BOARD
REMOT,REMOTE,RISET|RESER,RESET
CHANEL|CHENEL,CHANNEL,TDK ADA SIAR,TIDAK ADA SIARAN
DEATH,DEAD,REMOT,REMOTE
EROR,ERROR,SOFWARE|SOFTWERE|SOFT WERE|SOFEWERE,SOFTWARE
RESTR,RESTART,PANAL,PANEL
MBAYANG,BERBAYANG,REPIRING,REPAIR
KONSLET,KORSLETING,SUPPLY,UNIT
NGEFREEZ,FREEZE,TDK,TIDAK
VOLKADOT,POLKADOT,RSK,RUSAK
CONNEC|CONECT,CONNECT,BTL,BATAL
SIGNAL,SINYAL,P WIRING BOARD ASSY,POWER UNIT
,,P.WIRING BOARD ASSEMBLY,POWER UNIT
,,PCB MAIN,MAIN UNIT
,,PSU,POWER UNIT
,,Perbaikan/servis|PERBAIIKI|PERBAIKI,PERBAIKAN
,,SERMODE,SERVICE MODE
,,RIPER,REPAIR
,,GENNERAL,GENERAL
,,SREVICE,SERVICE
,,PWB units Power,POWER UNIT
,,KENCANGAKAN,KENCANGKAN
,,TUNNER|TONER,TUNER
,,JLSKAN,JELASKAN
,,CLEAING|CLEANNING,CLEANING
,,MAIN UNI,MAIN UNIT
,,LPDS,LVDS
,,FAKCTORY|FACTORI,FACTORY
,,SETING|STEL,SETTING
,,SOCET,SOCKET
,,BS,BISA
,,Imfa red,IR
,,BHOTLOOP,BOOT LOOP
,,PNJLSN|PENJ,PENJELASAN
,,CHEK,CEK
,,BATREI,BATERAI
,,GLASH|GALSSS,GLASS
,,BLAND,BLANK
,,DITAR IK,TARIK
,,STANBAY,STANDBY
,,MATOL,MATI TOTAL
,,MP,POWER UNIT
,,UNITREST,UNIT RESET
,,CHANEL|CHENEL,CHANNEL
,,UPGARDE|UPGRDE,UPGRADE
,,IC780I,IC7801
,,P.W.B,POWER UNIT
,,ANTHENA,ANTENA
