model_name,factory,,,,,,,,,,,,,,,,,,
2TC24DC1I,SEID,,,,,,,,,,,,,,,,,,
2TC24DD1I,SEID,,,,,,,,,,,,,,,,,,
2TC24GD1400I,SEID,,,,,,,,,,,,,,,,,,
2TC24GD1500I,SEID,,,,,,,,,,,,,,,,,,
2TC24HD1400I,SEID,,,,,,,,,,,,,,,,,,
2TC24HD1500I,SEID,,,,,,,,,,,,,,,,,,
2TC32BA1I,SEID,,,,,,,,,,,,,,,,,,
2TC32BA2I,SEID,,,,,,,,,,,,,,,,,,
2TC32BB1ITB,SEID,,,,,,,,,,,,,,,,,,
2TC32BD1ITG,SEID,,,,,,,,,,,,,,,,,,
2TC32BG1I,SEID,,,,,,,,,,,,,,,,,,
2TC32DC1I,SEID,,,,,,,,,,,,,,,,,,
2TC32DD1I,SEID,,,,,,,,,,,,,,,,,,
2TC32DD1ITT,SEID,,,,,,,,,,,,,,,,,,
2TC32DF1I,SEID,,,,,,,,,,,,,,,,,,
2TC32EG1I,SEID,,,,,,,,,,,,,,,,,,
2TC32GD1400I,SEID,,,,,,,,,,,,,,,,,,
2TC32GD1500I,SEID,,,,,,,,,,,,,,,,,,
2TC32GD1600I,SEID,,,,,,,,,,,,,,,,,,
2TC32GH3000I,SKW,,,,,,,,,,,,,,,,,,
2TC32HD1400I,MOKA,,,,,,,,,,,,,,,,,,
2TC32HD1500I,MOKA,,,,,,,,,,,,,,,,,,
2TC40AE1I,SEID,,,,,,,,,,,,,,,,,,
2TC42BB1I,SEID,,,,,,,,,,,,,,,,,,
2TC42BD1I,SEID,,,,,,,,,,,,,,,,,,
2TC42BG1I,SEID,,,,,,,,,,,,,,,,,,
2TC42DD1I,SEID,,,,,,,,,,,,,,,,,,
2TC42DD1ISB,SEID,,,,,,,,,,,,,,,,,,
2TC42DF1I,SEID,,,,,,,,,,,,,,,,,,
2TC42EG1I,SEID,,,,,,,,,,,,,,,,,,
2TC42EG1ISB,SEID,,,,,,,,,,,,,,,,,,
2TC42FD1I,SEID,,,,,,,,,,,,,,,,,,
2TC42FG1I,SEID,,,,,,,,,,,,,,,,,,
2TC43GH3000I,SKW,,,,,,,,,,,,,,,,,,
2TC43HD1500I,SEID,,,,,,,,,,,,,,,,,,
2TC50AD1I,SEID,,,,,,,,,,,,,,,,,,
2TC50AE1I,SEID,,,,,,,,,,,,,,,,,,
2TC50BG1I,SEID,,,,,,,,,,,,,,,,,,
2TC50DF1I,SEID,,,,,,,,,,,,,,,,,,
