part_used,part_name,,,,,,,,,,,,,,,,,,
9JD06DC51028A,AC_CORD,,,,,,,,,,,,,,,,,,
9KB2700918211,AC_CORD,,,,,,,,,,,,,,,,,,
KSETLA981WJZZ,AC_CORD,,,,,,,,,,,,,,,,,,
KSETLB296WJZZ,AC_CORD,,,,,,,,,,,,,,,,,,
QACC-A286CBZZ,AC_CORD,,,,,,,,,,,,,,,,,,
QACCKA047WJPZ,AC_CORD,,,,,,,,,,,,,,,,,,
QACCKA055WJPZ,AC_CORD,,,,,,,,,,,,,,,,,,
QACCKA075WJPZ2,AC_CORD,,,,,,,,,,,,,,,,,,
QACCKA079WJPZ,AC_CORD,,,,,,,,,,,,,,,,,,
QACCKA080WJPZ2,AC_CORD,,,,,,,,,,,,,,,,,,
QACCZA160WJN12,AC_CORD,,,,,,,,,,,,,,,,,,
QACCZA320WJPZ2,AC_CORD,,,,,,,,,,,,,,,,,,
QACCZA331WJPZ2,AC_CORD,,,,,,,,,,,,,,,,,,
QACCZA352WJPZ,AC_CORD,,,,,,,,,,,,,,,,,,
QACCZA353WJPZ2,AC_CORD,,,,,,,,,,,,,,,,,,
UADP-A118WJZZ,ADAPTOR,,,,,,,,,,,,,,,,,,
UADP-A129WJZZ,ADAPTOR,,,,,,,,,,,,,,,,,,
QCNWGA160WJPZ,AV_CABLE,,,,,,,,,,,,,,,,,,
CCABBC295WJ05,BACK_CABINET,,,,,,,,,,,,,,,,,,
PBAL-C003SCAA0,BALLAST_MAGNETIC,,,,,,,,,,,,,,,,,,
QCNW-S621WJPZ,BL_WIRE,,,,,,,,,,,,,,,,,,
QCNW-T322WJN1,BL_WIRE,,,,,,,,,,,,,,,,,,
KSETLA734WJZZ,BLUETOOTH_ANTENNA,,,,,,,,,,,,,,,,,,
KSETLB154WJZZ,BLUETOOTH_WIRE,,,,,,,,,,,,,,,,,,
QANTZA023WJQZ,BT_ANTENNA,,,,,,,,,,,,,,,,,,
CCABAD273WJ62,CABINET,,,,,,,,,,,,,,,,,,
CCABAD273WJ64,CABINET,,,,,,,,,,,,,,,,,,
CCABAD303WJ63,CABINET,,,,,,,,,,,,,,,,,,
